Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
61,,Afghanistan,22-03-2020,40,1
62,,Afghanistan,23-03-2020,40,1
63,,Afghanistan,24-03-2020,74,1
64,,Afghanistan,25-03-2020,84,2
65,,Afghanistan,26-03-2020,94,4
66,,Afghanistan,27-03-2020,110,4
67,,Afghanistan,28-03-2020,110,4
68,,Afghanistan,29-03-2020,120,4
69,,Afghanistan,30-03-2020,170,4
70,,Afghanistan,31-03-2020,174,4
71,,Afghanistan,01-04-2020,237,4
72,,Afghanistan,02-04-2020,273,6
73,,Afghanistan,03-04-2020,281,6
74,,Afghanistan,04-04-2020,299,7
75,,Afghanistan,05-04-2020,349,7
76,,Afghanistan,06-04-2020,367,11
77,,Afghanistan,07-04-2020,423,14
78,,Afghanistan,08-04-2020,444,14
79,,Afghanistan,09-04-2020,484,15
80,,Afghanistan,10-04-2020,521,15
81,,Afghanistan,11-04-2020,555,18
115,,Albania,22-01-2020,0,0
116,,Albania,23-01-2020,0,0
117,,Albania,24-01-2020,0,0
118,,Albania,25-01-2020,0,0
119,,Albania,26-01-2020,0,0
120,,Albania,27-01-2020,0,0
121,,Albania,28-01-2020,0,0
122,,Albania,29-01-2020,0,0
123,,Albania,30-01-2020,0,0
124,,Albania,31-01-2020,0,0
125,,Albania,01-02-2020,0,0
126,,Albania,02-02-2020,0,0
127,,Albania,03-02-2020,0,0
128,,Albania,04-02-2020,0,0
129,,Albania,05-02-2020,0,0
130,,Albania,06-02-2020,0,0
131,,Albania,07-02-2020,0,0
132,,Albania,08-02-2020,0,0
133,,Albania,09-02-2020,0,0
134,,Albania,10-02-2020,0,0
135,,Albania,11-02-2020,0,0
136,,Albania,12-02-2020,0,0
137,,Albania,13-02-2020,0,0
138,,Albania,14-02-2020,0,0
139,,Albania,15-02-2020,0,0
140,,Albania,16-02-2020,0,0
141,,Albania,17-02-2020,0,0
142,,Albania,18-02-2020,0,0
143,,Albania,19-02-2020,0,0
144,,Albania,20-02-2020,0,0
145,,Albania,21-02-2020,0,0
146,,Albania,22-02-2020,0,0
147,,Albania,23-02-2020,0,0
148,,Albania,24-02-2020,0,0
149,,Albania,25-02-2020,0,0
150,,Albania,26-02-2020,0,0
151,,Albania,27-02-2020,0,0
152,,Albania,28-02-2020,0,0
153,,Albania,29-02-2020,0,0
154,,Albania,01-03-2020,0,0
155,,Albania,02-03-2020,0,0
156,,Albania,03-03-2020,0,0
157,,Albania,04-03-2020,0,0
158,,Albania,05-03-2020,0,0
159,,Albania,06-03-2020,0,0
160,,Albania,07-03-2020,0,0
161,,Albania,08-03-2020,0,0
162,,Albania,09-03-2020,2,0
163,,Albania,10-03-2020,10,0
164,,Albania,11-03-2020,12,1
165,,Albania,12-03-2020,23,1
166,,Albania,13-03-2020,33,1
167,,Albania,14-03-2020,38,1
168,,Albania,15-03-2020,42,1
169,,Albania,16-03-2020,51,1
170,,Albania,17-03-2020,55,1
171,,Albania,18-03-2020,59,2
172,,Albania,19-03-2020,64,2
173,,Albania,20-03-2020,70,2
174,,Albania,21-03-2020,76,2
175,,Albania,22-03-2020,89,2
176,,Albania,23-03-2020,104,4
177,,Albania,24-03-2020,123,5
178,,Albania,25-03-2020,146,5
179,,Albania,26-03-2020,174,6
180,,Albania,27-03-2020,186,8
181,,Albania,28-03-2020,197,10
182,,Albania,29-03-2020,212,10
183,,Albania,30-03-2020,223,11
184,,Albania,31-03-2020,243,15
185,,Albania,01-04-2020,259,15
186,,Albania,02-04-2020,277,16
187,,Albania,03-04-2020,304,17
188,,Albania,04-04-2020,333,20
189,,Albania,05-04-2020,361,20
190,,Albania,06-04-2020,377,21
191,,Albania,07-04-2020,383,22
192,,Albania,08-04-2020,400,22
193,,Albania,09-04-2020,409,23
194,,Albania,10-04-2020,416,23
195,,Albania,11-04-2020,433,23
229,,Algeria,22-01-2020,0,0
230,,Algeria,23-01-2020,0,0
231,,Algeria,24-01-2020,0,0
232,,Algeria,25-01-2020,0,0
233,,Algeria,26-01-2020,0,0
234,,Algeria,27-01-2020,0,0
235,,Algeria,28-01-2020,0,0
236,,Algeria,29-01-2020,0,0
237,,Algeria,30-01-2020,0,0
238,,Algeria,31-01-2020,0,0
239,,Algeria,01-02-2020,0,0
240,,Algeria,02-02-2020,0,0
241,,Algeria,03-02-2020,0,0
242,,Algeria,04-02-2020,0,0
243,,Algeria,05-02-2020,0,0
244,,Algeria,06-02-2020,0,0
245,,Algeria,07-02-2020,0,0
246,,Algeria,08-02-2020,0,0
247,,Algeria,09-02-2020,0,0
248,,Algeria,10-02-2020,0,0
249,,Algeria,11-02-2020,0,0
250,,Algeria,12-02-2020,0,0
251,,Algeria,13-02-2020,0,0
252,,Algeria,14-02-2020,0,0
253,,Algeria,15-02-2020,0,0
254,,Algeria,16-02-2020,0,0
255,,Algeria,17-02-2020,0,0
256,,Algeria,18-02-2020,0,0
257,,Algeria,19-02-2020,0,0
258,,Algeria,20-02-2020,0,0
259,,Algeria,21-02-2020,0,0
260,,Algeria,22-02-2020,0,0
261,,Algeria,23-02-2020,0,0
262,,Algeria,24-02-2020,0,0
263,,Algeria,25-02-2020,1,0
264,,Algeria,26-02-2020,1,0
265,,Algeria,27-02-2020,1,0
266,,Algeria,28-02-2020,1,0
267,,Algeria,29-02-2020,1,0
268,,Algeria,01-03-2020,1,0
269,,Algeria,02-03-2020,3,0
270,,Algeria,03-03-2020,5,0
271,,Algeria,04-03-2020,12,0
272,,Algeria,05-03-2020,12,0
273,,Algeria,06-03-2020,17,0
274,,Algeria,07-03-2020,17,0
275,,Algeria,08-03-2020,19,0
276,,Algeria,09-03-2020,20,0
277,,Algeria,10-03-2020,20,0
278,,Algeria,11-03-2020,20,0
279,,Algeria,12-03-2020,24,1
280,,Algeria,13-03-2020,26,2
281,,Algeria,14-03-2020,37,3
282,,Algeria,15-03-2020,48,4
283,,Algeria,16-03-2020,54,4
284,,Algeria,17-03-2020,60,4
285,,Algeria,18-03-2020,74,7
286,,Algeria,19-03-2020,87,9
287,,Algeria,20-03-2020,90,11
288,,Algeria,21-03-2020,139,15
289,,Algeria,22-03-2020,201,17
290,,Algeria,23-03-2020,230,17
291,,Algeria,24-03-2020,264,19
292,,Algeria,25-03-2020,302,21
293,,Algeria,26-03-2020,367,25
294,,Algeria,27-03-2020,409,26
295,,Algeria,28-03-2020,454,29
296,,Algeria,29-03-2020,511,31
297,,Algeria,30-03-2020,584,35
298,,Algeria,31-03-2020,716,44
299,,Algeria,01-04-2020,847,58
300,,Algeria,02-04-2020,986,86
301,,Algeria,03-04-2020,1171,105
302,,Algeria,04-04-2020,1251,130
303,,Algeria,05-04-2020,1320,152
304,,Algeria,06-04-2020,1423,173
305,,Algeria,07-04-2020,1468,193
306,,Algeria,08-04-2020,1572,205
307,,Algeria,09-04-2020,1666,235
308,,Algeria,10-04-2020,1761,256
309,,Algeria,11-04-2020,1825,275
343,,Andorra,22-01-2020,0,0
344,,Andorra,23-01-2020,0,0
345,,Andorra,24-01-2020,0,0
346,,Andorra,25-01-2020,0,0
347,,Andorra,26-01-2020,0,0
348,,Andorra,27-01-2020,0,0
349,,Andorra,28-01-2020,0,0
350,,Andorra,29-01-2020,0,0
351,,Andorra,30-01-2020,0,0
352,,Andorra,31-01-2020,0,0
353,,Andorra,01-02-2020,0,0
354,,Andorra,02-02-2020,0,0
355,,Andorra,03-02-2020,0,0
356,,Andorra,04-02-2020,0,0
357,,Andorra,05-02-2020,0,0
358,,Andorra,06-02-2020,0,0
359,,Andorra,07-02-2020,0,0
360,,Andorra,08-02-2020,0,0
361,,Andorra,09-02-2020,0,0
362,,Andorra,10-02-2020,0,0
363,,Andorra,11-02-2020,0,0
364,,Andorra,12-02-2020,0,0
365,,Andorra,13-02-2020,0,0
366,,Andorra,14-02-2020,0,0
367,,Andorra,15-02-2020,0,0
368,,Andorra,16-02-2020,0,0
369,,Andorra,17-02-2020,0,0
370,,Andorra,18-02-2020,0,0
371,,Andorra,19-02-2020,0,0
372,,Andorra,20-02-2020,0,0
373,,Andorra,21-02-2020,0,0
374,,Andorra,22-02-2020,0,0
375,,Andorra,23-02-2020,0,0
376,,Andorra,24-02-2020,0,0
377,,Andorra,25-02-2020,0,0
378,,Andorra,26-02-2020,0,0
379,,Andorra,27-02-2020,0,0
380,,Andorra,28-02-2020,0,0
381,,Andorra,29-02-2020,0,0
382,,Andorra,01-03-2020,0,0
383,,Andorra,02-03-2020,1,0
384,,Andorra,03-03-2020,1,0
385,,Andorra,04-03-2020,1,0
386,,Andorra,05-03-2020,1,0
387,,Andorra,06-03-2020,1,0
388,,Andorra,07-03-2020,1,0
389,,Andorra,08-03-2020,1,0
390,,Andorra,09-03-2020,1,0
391,,Andorra,10-03-2020,1,0
392,,Andorra,11-03-2020,1,0
393,,Andorra,12-03-2020,1,0
394,,Andorra,13-03-2020,1,0
395,,Andorra,14-03-2020,1,0
396,,Andorra,15-03-2020,1,0
397,,Andorra,16-03-2020,2,0
398,,Andorra,17-03-2020,39,0
399,,Andorra,18-03-2020,39,0
400,,Andorra,19-03-2020,53,0
401,,Andorra,20-03-2020,75,0
402,,Andorra,21-03-2020,88,0
403,,Andorra,22-03-2020,113,1
404,,Andorra,23-03-2020,133,1
405,,Andorra,24-03-2020,164,1
406,,Andorra,25-03-2020,188,1
407,,Andorra,26-03-2020,224,3
408,,Andorra,27-03-2020,267,3
409,,Andorra,28-03-2020,308,3
410,,Andorra,29-03-2020,334,6
411,,Andorra,30-03-2020,370,8
412,,Andorra,31-03-2020,376,12
413,,Andorra,01-04-2020,390,14
414,,Andorra,02-04-2020,428,15
415,,Andorra,03-04-2020,439,16
416,,Andorra,04-04-2020,466,17
417,,Andorra,05-04-2020,501,18
418,,Andorra,06-04-2020,525,21
419,,Andorra,07-04-2020,545,22
420,,Andorra,08-04-2020,564,23
421,,Andorra,09-04-2020,583,25
422,,Andorra,10-04-2020,601,26
423,,Andorra,11-04-2020,601,26
457,,Angola,22-01-2020,0,0
458,,Angola,23-01-2020,0,0
459,,Angola,24-01-2020,0,0
460,,Angola,25-01-2020,0,0
461,,Angola,26-01-2020,0,0
462,,Angola,27-01-2020,0,0
463,,Angola,28-01-2020,0,0
464,,Angola,29-01-2020,0,0
465,,Angola,30-01-2020,0,0
466,,Angola,31-01-2020,0,0
467,,Angola,01-02-2020,0,0
468,,Angola,02-02-2020,0,0
469,,Angola,03-02-2020,0,0
470,,Angola,04-02-2020,0,0
471,,Angola,05-02-2020,0,0
472,,Angola,06-02-2020,0,0
473,,Angola,07-02-2020,0,0
474,,Angola,08-02-2020,0,0
475,,Angola,09-02-2020,0,0
476,,Angola,10-02-2020,0,0
477,,Angola,11-02-2020,0,0
478,,Angola,12-02-2020,0,0
479,,Angola,13-02-2020,0,0
480,,Angola,14-02-2020,0,0
481,,Angola,15-02-2020,0,0
482,,Angola,16-02-2020,0,0
483,,Angola,17-02-2020,0,0
484,,Angola,18-02-2020,0,0
485,,Angola,19-02-2020,0,0
486,,Angola,20-02-2020,0,0
487,,Angola,21-02-2020,0,0
488,,Angola,22-02-2020,0,0
489,,Angola,23-02-2020,0,0
490,,Angola,24-02-2020,0,0
491,,Angola,25-02-2020,0,0
492,,Angola,26-02-2020,0,0
493,,Angola,27-02-2020,0,0
494,,Angola,28-02-2020,0,0
495,,Angola,29-02-2020,0,0
496,,Angola,01-03-2020,0,0
497,,Angola,02-03-2020,0,0
498,,Angola,03-03-2020,0,0
499,,Angola,04-03-2020,0,0
500,,Angola,05-03-2020,0,0
501,,Angola,06-03-2020,0,0
502,,Angola,07-03-2020,0,0
503,,Angola,08-03-2020,0,0
504,,Angola,09-03-2020,0,0
505,,Angola,10-03-2020,0,0
506,,Angola,11-03-2020,0,0
507,,Angola,12-03-2020,0,0
508,,Angola,13-03-2020,0,0
509,,Angola,14-03-2020,0,0
510,,Angola,15-03-2020,0,0
511,,Angola,16-03-2020,0,0
512,,Angola,17-03-2020,0,0
513,,Angola,18-03-2020,0,0
514,,Angola,19-03-2020,0,0
515,,Angola,20-03-2020,1,0
516,,Angola,21-03-2020,2,0
517,,Angola,22-03-2020,2,0
518,,Angola,23-03-2020,3,0
519,,Angola,24-03-2020,3,0
520,,Angola,25-03-2020,3,0
521,,Angola,26-03-2020,4,0
522,,Angola,27-03-2020,4,0
523,,Angola,28-03-2020,5,0
524,,Angola,29-03-2020,7,2
525,,Angola,30-03-2020,7,2
526,,Angola,31-03-2020,7,2
527,,Angola,01-04-2020,8,2
528,,Angola,02-04-2020,8,2
529,,Angola,03-04-2020,8,2
530,,Angola,04-04-2020,10,2
531,,Angola,05-04-2020,14,2
532,,Angola,06-04-2020,16,2
533,,Angola,07-04-2020,17,2
534,,Angola,08-04-2020,19,2
535,,Angola,09-04-2020,19,2
536,,Angola,10-04-2020,19,2
537,,Angola,11-04-2020,19,2
571,,Antigua and Barbuda,22-01-2020,0,0
572,,Antigua and Barbuda,23-01-2020,0,0
573,,Antigua and Barbuda,24-01-2020,0,0
574,,Antigua and Barbuda,25-01-2020,0,0
575,,Antigua and Barbuda,26-01-2020,0,0
576,,Antigua and Barbuda,27-01-2020,0,0
577,,Antigua and Barbuda,28-01-2020,0,0
578,,Antigua and Barbuda,29-01-2020,0,0
579,,Antigua and Barbuda,30-01-2020,0,0
580,,Antigua and Barbuda,31-01-2020,0,0
581,,Antigua and Barbuda,01-02-2020,0,0
582,,Antigua and Barbuda,02-02-2020,0,0
583,,Antigua and Barbuda,03-02-2020,0,0
584,,Antigua and Barbuda,04-02-2020,0,0
585,,Antigua and Barbuda,05-02-2020,0,0
586,,Antigua and Barbuda,06-02-2020,0,0
587,,Antigua and Barbuda,07-02-2020,0,0
588,,Antigua and Barbuda,08-02-2020,0,0
589,,Antigua and Barbuda,09-02-2020,0,0
590,,Antigua and Barbuda,10-02-2020,0,0
591,,Antigua and Barbuda,11-02-2020,0,0
592,,Antigua and Barbuda,12-02-2020,0,0
593,,Antigua and Barbuda,13-02-2020,0,0
594,,Antigua and Barbuda,14-02-2020,0,0
595,,Antigua and Barbuda,15-02-2020,0,0
596,,Antigua and Barbuda,16-02-2020,0,0
597,,Antigua and Barbuda,17-02-2020,0,0
598,,Antigua and Barbuda,18-02-2020,0,0
599,,Antigua and Barbuda,19-02-2020,0,0
600,,Antigua and Barbuda,20-02-2020,0,0
601,,Antigua and Barbuda,21-02-2020,0,0
602,,Antigua and Barbuda,22-02-2020,0,0
603,,Antigua and Barbuda,23-02-2020,0,0
604,,Antigua and Barbuda,24-02-2020,0,0
605,,Antigua and Barbuda,25-02-2020,0,0
606,,Antigua and Barbuda,26-02-2020,0,0
607,,Antigua and Barbuda,27-02-2020,0,0
608,,Antigua and Barbuda,28-02-2020,0,0
609,,Antigua and Barbuda,29-02-2020,0,0
610,,Antigua and Barbuda,01-03-2020,0,0
611,,Antigua and Barbuda,02-03-2020,0,0
612,,Antigua and Barbuda,03-03-2020,0,0
613,,Antigua and Barbuda,04-03-2020,0,0
614,,Antigua and Barbuda,05-03-2020,0,0
615,,Antigua and Barbuda,06-03-2020,0,0
616,,Antigua and Barbuda,07-03-2020,0,0
617,,Antigua and Barbuda,08-03-2020,0,0
618,,Antigua and Barbuda,09-03-2020,0,0
619,,Antigua and Barbuda,10-03-2020,0,0
620,,Antigua and Barbuda,11-03-2020,0,0
621,,Antigua and Barbuda,12-03-2020,0,0
622,,Antigua and Barbuda,13-03-2020,1,0
623,,Antigua and Barbuda,14-03-2020,1,0
624,,Antigua and Barbuda,15-03-2020,1,0
625,,Antigua and Barbuda,16-03-2020,1,0
626,,Antigua and Barbuda,17-03-2020,1,0
627,,Antigua and Barbuda,18-03-2020,1,0
628,,Antigua and Barbuda,19-03-2020,1,0
629,,Antigua and Barbuda,20-03-2020,1,0
630,,Antigua and Barbuda,21-03-2020,1,0
631,,Antigua and Barbuda,22-03-2020,1,0
632,,Antigua and Barbuda,23-03-2020,3,0
633,,Antigua and Barbuda,24-03-2020,3,0
634,,Antigua and Barbuda,25-03-2020,3,0
635,,Antigua and Barbuda,26-03-2020,7,0
636,,Antigua and Barbuda,27-03-2020,7,0
637,,Antigua and Barbuda,28-03-2020,7,0
638,,Antigua and Barbuda,29-03-2020,7,0
639,,Antigua and Barbuda,30-03-2020,7,0
640,,Antigua and Barbuda,31-03-2020,7,0
641,,Antigua and Barbuda,01-04-2020,7,0
642,,Antigua and Barbuda,02-04-2020,9,0
643,,Antigua and Barbuda,03-04-2020,15,0
644,,Antigua and Barbuda,04-04-2020,15,0
645,,Antigua and Barbuda,05-04-2020,15,0
646,,Antigua and Barbuda,06-04-2020,15,0
647,,Antigua and Barbuda,07-04-2020,19,1
648,,Antigua and Barbuda,08-04-2020,19,2
649,,Antigua and Barbuda,09-04-2020,19,2
650,,Antigua and Barbuda,10-04-2020,19,2
651,,Antigua and Barbuda,11-04-2020,21,2
685,,Argentina,22-01-2020,0,0
686,,Argentina,23-01-2020,0,0
687,,Argentina,24-01-2020,0,0
688,,Argentina,25-01-2020,0,0
689,,Argentina,26-01-2020,0,0
690,,Argentina,27-01-2020,0,0
691,,Argentina,28-01-2020,0,0
692,,Argentina,29-01-2020,0,0
693,,Argentina,30-01-2020,0,0
694,,Argentina,31-01-2020,0,0
695,,Argentina,01-02-2020,0,0
696,,Argentina,02-02-2020,0,0
697,,Argentina,03-02-2020,0,0
698,,Argentina,04-02-2020,0,0
699,,Argentina,05-02-2020,0,0
700,,Argentina,06-02-2020,0,0
701,,Argentina,07-02-2020,0,0
702,,Argentina,08-02-2020,0,0
703,,Argentina,09-02-2020,0,0
704,,Argentina,10-02-2020,0,0
705,,Argentina,11-02-2020,0,0
706,,Argentina,12-02-2020,0,0
707,,Argentina,13-02-2020,0,0
708,,Argentina,14-02-2020,0,0
709,,Argentina,15-02-2020,0,0
710,,Argentina,16-02-2020,0,0
711,,Argentina,17-02-2020,0,0
712,,Argentina,18-02-2020,0,0
713,,Argentina,19-02-2020,0,0
714,,Argentina,20-02-2020,0,0
715,,Argentina,21-02-2020,0,0
716,,Argentina,22-02-2020,0,0
717,,Argentina,23-02-2020,0,0
718,,Argentina,24-02-2020,0,0
719,,Argentina,25-02-2020,0,0
720,,Argentina,26-02-2020,0,0
721,,Argentina,27-02-2020,0,0
722,,Argentina,28-02-2020,0,0
723,,Argentina,29-02-2020,0,0
724,,Argentina,01-03-2020,0,0
725,,Argentina,02-03-2020,0,0
726,,Argentina,03-03-2020,1,0
727,,Argentina,04-03-2020,1,0
728,,Argentina,05-03-2020,1,0
729,,Argentina,06-03-2020,2,0
730,,Argentina,07-03-2020,8,0
731,,Argentina,08-03-2020,12,1
732,,Argentina,09-03-2020,12,1
733,,Argentina,10-03-2020,17,1
734,,Argentina,11-03-2020,19,1
735,,Argentina,12-03-2020,19,1
736,,Argentina,13-03-2020,31,2
737,,Argentina,14-03-2020,34,2
738,,Argentina,15-03-2020,45,2
739,,Argentina,16-03-2020,56,2
740,,Argentina,17-03-2020,68,2
741,,Argentina,18-03-2020,79,2
742,,Argentina,19-03-2020,97,3
743,,Argentina,20-03-2020,128,3
744,,Argentina,21-03-2020,158,4
745,,Argentina,22-03-2020,266,4
746,,Argentina,23-03-2020,301,4
747,,Argentina,24-03-2020,387,6
748,,Argentina,25-03-2020,387,8
749,,Argentina,26-03-2020,502,9
750,,Argentina,27-03-2020,589,13
751,,Argentina,28-03-2020,690,18
752,,Argentina,29-03-2020,745,19
753,,Argentina,30-03-2020,820,23
754,,Argentina,31-03-2020,1054,27
755,,Argentina,01-04-2020,1054,28
756,,Argentina,02-04-2020,1133,36
757,,Argentina,03-04-2020,1265,39
758,,Argentina,04-04-2020,1451,43
759,,Argentina,05-04-2020,1451,44
760,,Argentina,06-04-2020,1554,48
761,,Argentina,07-04-2020,1628,56
762,,Argentina,08-04-2020,1715,63
763,,Argentina,09-04-2020,1795,72
764,,Argentina,10-04-2020,1975,82
765,,Argentina,11-04-2020,1975,83
799,,Armenia,22-01-2020,0,0
800,,Armenia,23-01-2020,0,0
801,,Armenia,24-01-2020,0,0
802,,Armenia,25-01-2020,0,0
803,,Armenia,26-01-2020,0,0
804,,Armenia,27-01-2020,0,0
805,,Armenia,28-01-2020,0,0
806,,Armenia,29-01-2020,0,0
807,,Armenia,30-01-2020,0,0
808,,Armenia,31-01-2020,0,0
809,,Armenia,01-02-2020,0,0
810,,Armenia,02-02-2020,0,0
811,,Armenia,03-02-2020,0,0
812,,Armenia,04-02-2020,0,0
813,,Armenia,05-02-2020,0,0
814,,Armenia,06-02-2020,0,0
815,,Armenia,07-02-2020,0,0
816,,Armenia,08-02-2020,0,0
817,,Armenia,09-02-2020,0,0
818,,Armenia,10-02-2020,0,0
819,,Armenia,11-02-2020,0,0
820,,Armenia,12-02-2020,0,0
821,,Armenia,13-02-2020,0,0
822,,Armenia,14-02-2020,0,0
823,,Armenia,15-02-2020,0,0
824,,Armenia,16-02-2020,0,0
825,,Armenia,17-02-2020,0,0
826,,Armenia,18-02-2020,0,0
827,,Armenia,19-02-2020,0,0
828,,Armenia,20-02-2020,0,0
829,,Armenia,21-02-2020,0,0
830,,Armenia,22-02-2020,0,0
831,,Armenia,23-02-2020,0,0
832,,Armenia,24-02-2020,0,0
833,,Armenia,25-02-2020,0,0
834,,Armenia,26-02-2020,0,0
835,,Armenia,27-02-2020,0,0
836,,Armenia,28-02-2020,0,0
837,,Armenia,29-02-2020,0,0
838,,Armenia,01-03-2020,1,0
839,,Armenia,02-03-2020,1,0
840,,Armenia,03-03-2020,1,0
841,,Armenia,04-03-2020,1,0
842,,Armenia,05-03-2020,1,0
843,,Armenia,06-03-2020,1,0
844,,Armenia,07-03-2020,1,0
845,,Armenia,08-03-2020,1,0
846,,Armenia,09-03-2020,1,0
847,,Armenia,10-03-2020,1,0
848,,Armenia,11-03-2020,1,0
849,,Armenia,12-03-2020,4,0
850,,Armenia,13-03-2020,8,0
851,,Armenia,14-03-2020,18,0
852,,Armenia,15-03-2020,26,0
853,,Armenia,16-03-2020,52,0
854,,Armenia,17-03-2020,78,0
855,,Armenia,18-03-2020,84,0
856,,Armenia,19-03-2020,115,0
857,,Armenia,20-03-2020,136,0
858,,Armenia,21-03-2020,160,0
859,,Armenia,22-03-2020,194,0
860,,Armenia,23-03-2020,235,0
861,,Armenia,24-03-2020,249,0
862,,Armenia,25-03-2020,265,0
863,,Armenia,26-03-2020,290,1
864,,Armenia,27-03-2020,329,1
865,,Armenia,28-03-2020,407,1
866,,Armenia,29-03-2020,424,3
867,,Armenia,30-03-2020,482,3
868,,Armenia,31-03-2020,532,3
869,,Armenia,01-04-2020,571,4
870,,Armenia,02-04-2020,663,7
871,,Armenia,03-04-2020,736,7
872,,Armenia,04-04-2020,770,7
873,,Armenia,05-04-2020,822,7
874,,Armenia,06-04-2020,833,8
875,,Armenia,07-04-2020,853,8
876,,Armenia,08-04-2020,881,9
877,,Armenia,09-04-2020,921,10
878,,Armenia,10-04-2020,937,12
879,,Armenia,11-04-2020,967,13
913,Australian Capital Territory,Australia,22-01-2020,0,0
914,Australian Capital Territory,Australia,23-01-2020,0,0
915,Australian Capital Territory,Australia,24-01-2020,0,0
916,Australian Capital Territory,Australia,25-01-2020,0,0
917,Australian Capital Territory,Australia,26-01-2020,0,0
918,Australian Capital Territory,Australia,27-01-2020,0,0
919,Australian Capital Territory,Australia,28-01-2020,0,0
920,Australian Capital Territory,Australia,29-01-2020,0,0
921,Australian Capital Territory,Australia,30-01-2020,0,0
922,Australian Capital Territory,Australia,31-01-2020,0,0
923,Australian Capital Territory,Australia,01-02-2020,0,0
924,Australian Capital Territory,Australia,02-02-2020,0,0
925,Australian Capital Territory,Australia,03-02-2020,0,0
926,Australian Capital Territory,Australia,04-02-2020,0,0
927,Australian Capital Territory,Australia,05-02-2020,0,0
928,Australian Capital Territory,Australia,06-02-2020,0,0
929,Australian Capital Territory,Australia,07-02-2020,0,0
930,Australian Capital Territory,Australia,08-02-2020,0,0
931,Australian Capital Territory,Australia,09-02-2020,0,0
932,Australian Capital Territory,Australia,10-02-2020,0,0
933,Australian Capital Territory,Australia,11-02-2020,0,0
934,Australian Capital Territory,Australia,12-02-2020,0,0
935,Australian Capital Territory,Australia,13-02-2020,0,0
936,Australian Capital Territory,Australia,14-02-2020,0,0
937,Australian Capital Territory,Australia,15-02-2020,0,0
938,Australian Capital Territory,Australia,16-02-2020,0,0
939,Australian Capital Territory,Australia,17-02-2020,0,0
940,Australian Capital Territory,Australia,18-02-2020,0,0
941,Australian Capital Territory,Australia,19-02-2020,0,0
942,Australian Capital Territory,Australia,20-02-2020,0,0
943,Australian Capital Territory,Australia,21-02-2020,0,0
944,Australian Capital Territory,Australia,22-02-2020,0,0
945,Australian Capital Territory,Australia,23-02-2020,0,0
946,Australian Capital Territory,Australia,24-02-2020,0,0
947,Australian Capital Territory,Australia,25-02-2020,0,0
948,Australian Capital Territory,Australia,26-02-2020,0,0
949,Australian Capital Territory,Australia,27-02-2020,0,0
950,Australian Capital Territory,Australia,28-02-2020,0,0
951,Australian Capital Territory,Australia,29-02-2020,0,0
952,Australian Capital Territory,Australia,01-03-2020,0,0
953,Australian Capital Territory,Australia,02-03-2020,0,0
